Epoch, Topic Diveristy, Perplexity, Time elapsed
1, 0.1088, 1633.5203335205267, 45.544429063797
2, 0.272, 1078.4996700746979, 52.91321086883545
3, 0.42, 867.4943236276775, 56.5989625453949
4, 0.5248, 772.6301240833568, 62.65300107002258
5, 0.5872, 725.7736786268343, 69.77685284614563
6, 0.6264, 703.3946851339342, 75.50285458564758
7, 0.6656, 692.83005317195, 80.28208804130554
8, 0.6912, 686.9259313738627, 86.17986106872559
9, 0.7024, 684.1801608230222, 91.19336819648743
10, 0.7168, 682.5102941898463, 95.7994544506073
11, 0.7328, 682.8099628380322, 103.17507982254028
12, 0.7432, 683.5999875419138, 106.65708374977112
13, 0.7504, 685.2340963880322, 113.43238925933838
14, 0.752, 686.3802586342608, 117.6564781665802
15, 0.7584, 687.4340140725795, 125.2757670879364
16, 0.7624, 688.5268530430758, 127.87673544883728
17, 0.7688, 689.0054781984641, 133.43332934379578
18, 0.7728, 689.4977478287689, 140.5610842704773
19, 0.7744, 690.1629655787434, 141.91286969184875
20, 0.7736, 690.841507315578, 152.42630648612976
21, 0.776, 691.6740155895326, 153.72344064712524
22, 0.7816, 692.6890833024204, 158.77904343605042
23, 0.7856, 693.5531216978884, 163.0121099948883
24, 0.788, 694.3551117366276, 169.7891821861267
25, 0.7888, 695.1406565804792, 174.84874558448792
26, 0.7904, 695.750948622937, 179.6882185935974
27, 0.7888, 696.5393697443559, 182.90750122070312
28, 0.7904, 697.3434381411543, 188.72851514816284
29, 0.792, 698.1319553237026, 194.27946424484253
30, 0.7912, 698.7105744852136, 198.67858934402466
31, 0.7896, 698.9802264557937, 202.4485263824463
32, 0.7896, 699.4519872145175, 205.68505239486694
33, 0.7896, 699.786846256173, 212.67139196395874
34, 0.7912, 700.320001440229, 216.8082959651947
35, 0.7928, 700.7571167692973, 222.35463762283325
36, 0.7936, 701.1198702952323, 226.82471895217896
37, 0.7936, 701.3691118177472, 232.83239817619324
38, 0.7936, 701.5336705656073, 236.80679035186768
39, 0.7944, 701.7690389780647, 241.61271405220032
40, 0.7944, 702.1848512888158, 244.5595474243164
41, 0.7952, 702.3494950975731, 249.6061611175537
42, 0.7944, 702.6643053365203, 253.70803546905518
43, 0.796, 702.8256834293434, 260.7180802822113
44, 0.796, 703.1938978385127, 263.8060519695282
45, 0.7968, 703.4007927316533, 268.2968988418579
46, 0.7976, 703.5907915503172, 275.50380277633667
47, 0.7984, 703.6838313733731, 279.1706883907318
48, 0.8008, 703.8738937677758, 283.7150387763977
49, 0.8008, 703.8772071292188, 289.0983536243439
50, 0.7984, 704.0205816561022, 294.79371643066406
